,Percentage
2020-03-25,43
2020-03-30,46
2020-04-07,49
2020-04-15,45
2020-04-23,44
2020-04-28,44
2020-05-15,41
2020-05-22,39
2020-05-29,41
2020-06-05,40
2020-06-12,49
2020-06-19,41
2020-06-27,37
2020-07-03,39
2020-07-10,36
2020-07-17,35
2020-07-24,33
2020-07-31,32
2020-08-07,30
2020-08-14,31
2020-08-28,27
2020-09-11,32
2020-09-18,32
2020-09-25,35
2020-10-02,37
2020-10-09,34
2020-10-16,36
2020-10-23,40
2020-10-29,37
2020-11-07,38
2020-11-13,39
2020-11-20,37
2020-11-27,39
2020-12-04,40
2020-12-11,37
2020-12-18,39
2020-12-27,32
2021-01-08,43
2021-01-15,45
2021-01-22,43
2021-01-29,46
